,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
45,"Luo, Jian",NANO 158 - Phase Transformations/Kinetics (A),FA15,28,9,88.9%,55.6%,5.39,B+ (3.33),B+ (3.50),3.5,nano,15
46,"Vecchio, Kenneth S",NANO 158L - Materials Processing Lab (A),SP15,12,6,100.0%,100.0%,14.5,A- (3.83),,,nano,15
47,"Yang, Kesong",NANO 15 - Engin. Comp Using MATLAB (A),WI15,45,17,94.1%,76.5%,4.85,B+ (3.65),B+ (3.30),3.3,nano,15
48,"Lubarda, Vlado",NANO 150 - Mechanics of Nanomaterials (A),WI15,37,17,93.8%,100.0%,6.75,B+ (3.63),B+ (3.32),3.32,nano,15
49,"Lubarda, Vlado",NANO 15 - Engin. Comp Using MATLAB (A),FA14,126,59,86.3%,66.7%,6.11,A- (3.81),B+ (3.44),3.44,nano,15
50,"Jin, Sungho",NANO 156 - Nanomaterials (A),FA14,28,12,81.8%,81.8%,4.32,B (3.18),B+ (3.55),3.55,nano,15
51,"Luo, Jian",NANO 158 - Phase Transformations/Kinetics (A),FA14,26,10,100.0%,88.9%,3.83,A- (3.78),B+ (3.56),3.56,nano,15
52,"Herz, Richard K",NANO 15 - Engin. Comp Using MATLAB (A),S214,9,3,100.0%,100.0%,8.5,B+ (3.67),,,nano,15
53,"Lubarda, Vlado",NANO 15 - Engin. Comp Using MATLAB (A),SP14,17,6,100.0%,83.3%,3.17,A- (3.80),,,nano,15
54,"Yang, Kesong",NANO 15 - Engin. Comp Using MATLAB (A),WI14,45,13,76.9%,53.8%,9.0,B+ (3.60),B (3.21),3.21,nano,15
55,"Lubarda, Vlado",NANO 150 - Mechanics of Nanomaterials (A),WI14,59,21,85.7%,85.7%,6.79,B+ (3.30),B+ (3.57),3.57,nano,15
56,"Lubarda, Vlado",NANO 15 - Engin. Comp Using MATLAB (A),FA13,92,43,88.4%,46.5%,7.04,A- (3.76),B+ (3.43),3.43,nano,15
57,"Jin, Sungho",NANO 156 - Nanomaterials (A),FA13,73,22,76.2%,85.7%,3.4,A- (3.81),B+ (3.46),3.46,nano,15
58,"Luo, Jian",NANO 158 - Phase Transformations/Kinetics (A),FA13,30,10,100.0%,100.0%,6.1,B+ (3.67),B+ (3.53),3.53,nano,15
59,"Herz, Richard K",NANO 15 - Engin. Comp Using MATLAB (A),S213,30,6,100.0%,80.0%,6.5,A (4.00),B+ (3.54),3.54,nano,15
60,"Chen, Shaochen",NANO 150 - Mechanics of Nanomaterials (A),WI13,23,8,100.0%,100.0%,2.5,A- (3.86),B+ (3.44),3.44,nano,15
61,"Jin, Sungho",NANO 156 - Nanomaterials (A),WI13,34,14,92.9%,92.9%,3.07,A- (3.92),A- (3.85),3.85,nano,15
62,"Herz, Richard K",NANO 15 - Engin. Comp Using MATLAB (A),FA12,302,127,87.7%,56.1%,5.57,B+ (3.46),B+ (3.39),3.39,nano,15
63,"Meyers, Marc",NANO 150 - Mechanics of Nanomaterials (A),WI12,13,7,66.7%,50.0%,5.93,A- (3.71),,,nano,15
